,pr_precision_nfm,pr_recall_nfm,pr_threshold_nfm
97,0.11478730587440918,0.99609375,4.649162292480469e-06
98,0.11481314723097703,0.99609375,4.678964614868164e-06
99,0.11483900022517451,0.99609375,4.708766937255859e-06
100,0.11486486486486487,0.99609375,4.738569259643555e-06
101,0.11494252873563218,0.99609375,4.798173904418945e-06
102,0.11509817197020988,0.99609375,4.827976226806641e-06
103,0.11512415349887133,0.99609375,4.857778549194336e-06
104,0.11520216851140727,0.99609375,4.887580871582031e-06
105,0.11533242876526459,0.99609375,4.947185516357422e-06
106,0.11538461538461539,0.99609375,4.976987838745117e-06
107,0.11543684925305568,0.99609375,5.036592483520508e-06
108,0.11551528878822197,0.99609375,5.0961971282958984e-06
109,0.115672488092538,0.99609375,5.125999450683594e-06
110,0.11572498298162015,0.99609375,5.155801773071289e-06
