,pr_precision_kge_rf,pr_recall_kge_rf,pr_threshold_kge_rf
239,1.0,0.291015625,0.528
240,1.0,0.2890625,0.53
241,1.0,0.287109375,0.532
242,1.0,0.283203125,0.534
243,1.0,0.279296875,0.536
244,1.0,0.275390625,0.538
245,1.0,0.2734375,0.54
246,1.0,0.271484375,0.542
247,1.0,0.267578125,0.55
248,1.0,0.265625,0.552
249,1.0,0.263671875,0.556
250,1.0,0.26171875,0.558
251,1.0,0.25390625,0.56
252,1.0,0.24609375,0.562
253,1.0,0.23828125,0.564
254,1.0,0.234375,0.568
255,1.0,0.23046875,0.572
256,1.0,0.224609375,0.574
257,1.0,0.22265625,0.576
258,1.0,0.216796875,0.58
259,1.0,0.21484375,0.582
260,1.0,0.20703125,0.584
261,1.0,0.203125,0.586
262,1.0,0.201171875,0.594
263,1.0,0.1953125,0.596
264,1.0,0.19140625,0.6
265,1.0,0.1875,0.602
266,1.0,0.185546875,0.604
267,1.0,0.18359375,0.606
268,1.0,0.1796875,0.608
269,1.0,0.177734375,0.61
270,1.0,0.173828125,0.616
271,1.0,0.169921875,0.618
272,1.0,0.16796875,0.622
273,1.0,0.166015625,0.626
274,1.0,0.158203125,0.63
275,1.0,0.154296875,0.632
276,1.0,0.1484375,0.634
277,1.0,0.14453125,0.64
278,1.0,0.142578125,0.642
279,1.0,0.13671875,0.648
280,1.0,0.1328125,0.65
281,1.0,0.12890625,0.652
282,1.0,0.126953125,0.654
283,1.0,0.125,0.656
284,1.0,0.123046875,0.658
285,1.0,0.119140625,0.66
286,1.0,0.11328125,0.662
287,1.0,0.109375,0.664
288,1.0,0.107421875,0.666
289,1.0,0.09765625,0.668
290,1.0,0.095703125,0.678
291,1.0,0.09375,0.68
292,1.0,0.091796875,0.682
293,1.0,0.087890625,0.684
294,1.0,0.0859375,0.686
295,1.0,0.083984375,0.688
296,1.0,0.08203125,0.69
297,1.0,0.080078125,0.696
298,1.0,0.078125,0.698
299,1.0,0.07421875,0.7
300,1.0,0.072265625,0.708
301,1.0,0.0703125,0.712
302,1.0,0.068359375,0.718
303,1.0,0.06640625,0.72
304,1.0,0.064453125,0.728
305,1.0,0.0625,0.732
306,1.0,0.05859375,0.734
307,1.0,0.0546875,0.736
308,1.0,0.052734375,0.744
309,1.0,0.05078125,0.748
310,1.0,0.048828125,0.754
311,1.0,0.044921875,0.758
312,1.0,0.04296875,0.772
313,1.0,0.041015625,0.774
314,1.0,0.03515625,0.778
315,1.0,0.033203125,0.784
316,1.0,0.03125,0.786
317,1.0,0.029296875,0.796
318,1.0,0.02734375,0.8
319,1.0,0.025390625,0.802
320,1.0,0.0234375,0.804
321,1.0,0.021484375,0.81
322,1.0,0.017578125,0.824
323,1.0,0.015625,0.828
324,1.0,0.013671875,0.834
325,1.0,0.01171875,0.844
326,1.0,0.009765625,0.858
327,1.0,0.0078125,0.86
328,1.0,0.005859375,0.862
329,1.0,0.00390625,0.866
330,1.0,0.001953125,0.892
331,1.0,0.0,
