,roc_fpr_kge_rf,roc_tpr_kge_rf,roc_threshold_kge_rf
80,0.0007960199004975124,0.44921875,0.44
81,0.0007960199004975124,0.45703125,0.436
82,0.0007960199004975124,0.458984375,0.434
83,0.0007960199004975124,0.46484375,0.432
84,0.0007960199004975124,0.47265625,0.43
85,0.0007960199004975124,0.4765625,0.428
86,0.0007960199004975124,0.484375,0.418
87,0.0007960199004975124,0.48828125,0.416
88,0.0007960199004975124,0.494140625,0.414
89,0.0007960199004975124,0.498046875,0.412
90,0.0007960199004975124,0.50390625,0.404
91,0.0007960199004975124,0.509765625,0.402
92,0.0007960199004975124,0.517578125,0.398
93,0.0007960199004975124,0.529296875,0.394
94,0.0009950248756218905,0.5390625,0.39
95,0.0009950248756218905,0.546875,0.386
96,0.0011940298507462687,0.548828125,0.384
97,0.0011940298507462687,0.55078125,0.378
98,0.0011940298507462687,0.5546875,0.374
99,0.0011940298507462687,0.556640625,0.372
100,0.0011940298507462687,0.560546875,0.37
101,0.0011940298507462687,0.56640625,0.364
102,0.0013930348258706469,0.568359375,0.362
103,0.0013930348258706469,0.576171875,0.358
104,0.0013930348258706469,0.583984375,0.356
105,0.0013930348258706469,0.587890625,0.354
106,0.0015920398009950248,0.587890625,0.352
107,0.0015920398009950248,0.591796875,0.35
108,0.001990049751243781,0.59375,0.346
109,0.001990049751243781,0.595703125,0.344
110,0.001990049751243781,0.599609375,0.342
111,0.0021890547263681594,0.60546875,0.34
112,0.0021890547263681594,0.607421875,0.338
113,0.0023880597014925373,0.615234375,0.336
114,0.0025870646766169153,0.619140625,0.334
115,0.0025870646766169153,0.625,0.332
116,0.0027860696517412937,0.625,0.33
117,0.0029850746268656717,0.626953125,0.328
118,0.0029850746268656717,0.630859375,0.324
119,0.0031840796019900496,0.638671875,0.322
120,0.0031840796019900496,0.640625,0.318
121,0.0031840796019900496,0.65234375,0.314
122,0.003582089552238806,0.65625,0.31
123,0.003980099502487562,0.6640625,0.306
124,0.004776119402985075,0.66796875,0.302
125,0.004975124378109453,0.669921875,0.3
126,0.005174129353233831,0.669921875,0.298
127,0.005174129353233831,0.67578125,0.296
128,0.005373134328358209,0.677734375,0.292
129,0.005373134328358209,0.685546875,0.29
130,0.005572139303482587,0.6875,0.288
131,0.005771144278606965,0.69140625,0.286
132,0.005771144278606965,0.693359375,0.284
133,0.006169154228855721,0.6953125,0.28
134,0.006567164179104477,0.703125,0.278
135,0.006567164179104477,0.70703125,0.274
136,0.006766169154228856,0.70703125,0.272
137,0.007164179104477612,0.708984375,0.27
138,0.007164179104477612,0.712890625,0.268
139,0.00736318407960199,0.716796875,0.266
140,0.007761194029850746,0.71875,0.264
141,0.00855721393034826,0.720703125,0.262
142,0.00855721393034826,0.7265625,0.26
143,0.008756218905472637,0.732421875,0.258
144,0.00955223880597015,0.734375,0.256
145,0.009950248756218905,0.73828125,0.254
146,0.010149253731343283,0.7421875,0.252
147,0.010746268656716417,0.744140625,0.25
148,0.011144278606965175,0.74609375,0.248
149,0.012736318407960199,0.75,0.244
150,0.013134328358208954,0.751953125,0.242
151,0.013333333333333334,0.759765625,0.24
152,0.014129353233830846,0.759765625,0.238
153,0.014328358208955224,0.763671875,0.236
154,0.014925373134328358,0.765625,0.234
155,0.015920398009950248,0.765625,0.232
156,0.01711442786069652,0.765625,0.23
157,0.01771144278606965,0.7734375,0.228
158,0.018507462686567163,0.7734375,0.226
159,0.0191044776119403,0.775390625,0.224
160,0.019502487562189055,0.77734375,0.222
161,0.020696517412935322,0.779296875,0.22
162,0.021492537313432834,0.78125,0.218
163,0.022885572139303482,0.783203125,0.216
164,0.023681592039800994,0.787109375,0.214
165,0.024676616915422885,0.791015625,0.212
166,0.02666666666666667,0.794921875,0.208
167,0.027860696517412936,0.794921875,0.206
168,0.030049751243781096,0.796875,0.204
169,0.031044776119402984,0.80078125,0.202
170,0.03303482587064677,0.802734375,0.2
171,0.03422885572139304,0.806640625,0.198
172,0.03562189054726368,0.80859375,0.196
173,0.037014925373134326,0.8125,0.194
174,0.0382089552238806,0.8203125,0.192
175,0.03980099502487562,0.82421875,0.19
176,0.04019900497512438,0.830078125,0.188
177,0.041990049751243784,0.83984375,0.186
178,0.04318407960199005,0.83984375,0.184
179,0.04378109452736319,0.83984375,0.182
180,0.04537313432835821,0.84375,0.18
181,0.0481592039800995,0.84765625,0.178
182,0.04915422885572139,0.849609375,0.176
183,0.051343283582089554,0.857421875,0.174
184,0.05472636815920398,0.859375,0.172
185,0.056716417910447764,0.86328125,0.17
186,0.05930348258706468,0.865234375,0.168
187,0.0608955223880597,0.8671875,0.166
188,0.06348258706467662,0.87109375,0.164
189,0.0654726368159204,0.876953125,0.162
190,0.06706467661691543,0.87890625,0.16
191,0.06945273631840795,0.88671875,0.158
192,0.0718407960199005,0.888671875,0.156
193,0.07462686567164178,0.890625,0.154
194,0.07701492537313433,0.892578125,0.152
195,0.08019900497512437,0.896484375,0.15
196,0.0845771144278607,0.90234375,0.148
197,0.08756218905472637,0.904296875,0.146
198,0.0899502487562189,0.904296875,0.144
199,0.09393034825870647,0.90625,0.142
200,0.09771144278606965,0.908203125,0.14
201,0.1008955223880597,0.912109375,0.138
202,0.10527363184079602,0.912109375,0.136
203,0.10845771144278607,0.91796875,0.134
204,0.11124378109452736,0.91796875,0.132
205,0.11522388059701492,0.921875,0.13
206,0.1190049751243781,0.923828125,0.128
207,0.12258706467661691,0.927734375,0.126
208,0.12577114427860697,0.931640625,0.124
209,0.13014925373134328,0.93359375,0.122
210,0.13432835820895522,0.93359375,0.12
211,0.13970149253731343,0.935546875,0.118
212,0.1454726368159204,0.94140625,0.116
213,0.14965174129353234,0.9453125,0.114
214,0.15502487562189055,0.951171875,0.112
215,0.1609950248756219,0.95703125,0.11
216,0.167363184079602,0.96484375,0.108
217,0.17253731343283582,0.966796875,0.106
218,0.1783084577114428,0.96875,0.104
219,0.1846766169154229,0.97265625,0.102
220,0.19144278606965173,0.9765625,0.1
221,0.19840796019900497,0.978515625,0.098
222,0.207363184079602,0.978515625,0.096
223,0.2155223880597015,0.984375,0.094
224,0.22208955223880597,0.984375,0.092
225,0.22925373134328358,0.984375,0.09
