,roc_fpr,roc_tpr,roc_threshold
122,0.02009950248756219,0.45703125,1.6393598
123,0.020298507462686566,0.45703125,1.6357347
124,0.020298507462686566,0.458984375,1.6336081
125,0.020696517412935322,0.458984375,1.6331289
126,0.020696517412935322,0.4609375,1.6313422
127,0.020895522388059702,0.4609375,1.6304706
128,0.020895522388059702,0.46484375,1.6283896
129,0.02109452736318408,0.46484375,1.6278665
130,0.02109452736318408,0.466796875,1.6249621
131,0.021293532338308458,0.466796875,1.6244947
132,0.021293532338308458,0.47265625,1.6214869
133,0.021492537313432834,0.47265625,1.6211462
134,0.021492537313432834,0.474609375,1.6174364
135,0.02228855721393035,0.474609375,1.6128467
136,0.02228855721393035,0.48828125,1.6090455
137,0.022487562189054726,0.48828125,1.6083552
138,0.022487562189054726,0.494140625,1.6071346
