,pr_precision_rf,pr_recall_rf,pr_threshold_rf
45,0.4295566502463054,0.8515625,0.16
46,0.4430769230769231,0.84375,0.165
47,0.45073375262054505,0.83984375,0.17
48,0.46228448275862066,0.837890625,0.175
49,0.4713656387665198,0.8359375,0.18
50,0.4822451317296678,0.822265625,0.185
51,0.4987980769230769,0.810546875,0.19
52,0.5086633663366337,0.802734375,0.195
53,0.5184243964421855,0.796875,0.2
54,0.5327225130890052,0.794921875,0.205
55,0.5442359249329759,0.79296875,0.21
56,0.5601659751037344,0.791015625,0.215
57,0.56657223796034,0.78125,0.22
58,0.5813953488372093,0.78125,0.225
59,0.5945945945945946,0.7734375,0.23
60,0.6040061633281972,0.765625,0.235
61,0.6157480314960629,0.763671875,0.24
62,0.6280193236714976,0.76171875,0.245
63,0.6392092257001647,0.7578125,0.25
64,0.6514382402707276,0.751953125,0.255
65,0.6591304347826087,0.740234375,0.26
66,0.6732142857142858,0.736328125,0.265
67,0.6812386156648452,0.73046875,0.27
68,0.6897196261682244,0.720703125,0.275
69,0.6963946869070209,0.716796875,0.28
70,0.7101167315175098,0.712890625,0.285
71,0.72,0.703125,0.29
72,0.731006160164271,0.6953125,0.295
73,0.7308488612836439,0.689453125,0.3
74,0.7420042643923241,0.6796875,0.305
75,0.7521929824561403,0.669921875,0.31
76,0.7674943566591422,0.6640625,0.315
77,0.7729357798165137,0.658203125,0.32
78,0.7749419953596288,0.65234375,0.325
79,0.7872340425531915,0.650390625,0.33
80,0.7941888619854721,0.640625,0.335
81,0.7990074441687345,0.62890625,0.34
82,0.8121827411167513,0.625,0.345
83,0.8212435233160622,0.619140625,0.35
84,0.8241469816272966,0.61328125,0.355
85,0.8337801608579088,0.607421875,0.36
86,0.8387978142076503,0.599609375,0.365
87,0.8421052631578947,0.59375,0.37
88,0.8470254957507082,0.583984375,0.375
89,0.8472622478386167,0.57421875,0.38
90,0.8533724340175953,0.568359375,0.385
91,0.857566765578635,0.564453125,0.39
92,0.8567164179104477,0.560546875,0.395
93,0.8580060422960725,0.5546875,0.4
94,0.8623853211009175,0.55078125,0.405
95,0.8652037617554859,0.5390625,0.41
96,0.8662420382165605,0.53125,0.415
97,0.8701298701298701,0.5234375,0.42
98,0.875,0.51953125,0.425
99,0.8791946308724832,0.51171875,0.43
100,0.8888888888888888,0.5,0.435
101,0.8951048951048951,0.5,0.44
102,0.8920863309352518,0.484375,0.445
103,0.8913043478260869,0.48046875,0.45
104,0.895910780669145,0.470703125,0.455
105,0.8947368421052632,0.46484375,0.46
106,0.8969465648854962,0.458984375,0.4637214649822695
107,0.896551724137931,0.45703125,0.465
108,0.9011857707509882,0.4453125,0.47
109,0.9043824701195219,0.443359375,0.475
110,0.904,0.44140625,0.48
111,0.9102040816326531,0.435546875,0.485
112,0.9166666666666666,0.4296875,0.495
113,0.9188034188034188,0.419921875,0.5
114,0.9184549356223176,0.41796875,0.505
115,0.9181034482758621,0.416015625,0.51
116,0.9173913043478261,0.412109375,0.515
117,0.9203539823008849,0.40625,0.52
118,0.9279279279279279,0.40234375,0.525
119,0.9315068493150684,0.3984375,0.53
120,0.9308755760368663,0.39453125,0.535
121,0.9302325581395349,0.390625,0.54
122,0.943127962085308,0.388671875,0.545
123,0.9507389162561576,0.376953125,0.55
124,0.949748743718593,0.369140625,0.555
125,0.9540816326530612,0.365234375,0.56
126,0.9585492227979274,0.361328125,0.565
127,0.9627659574468085,0.353515625,0.57
128,0.9623655913978495,0.349609375,0.575
129,0.9672131147540983,0.345703125,0.58
130,0.9668508287292817,0.341796875,0.585
131,0.9666666666666667,0.33984375,0.59
132,0.9662921348314607,0.3359375,0.595
133,0.9661016949152542,0.333984375,0.6
134,0.9659090909090909,0.33203125,0.61
135,0.9657142857142857,0.330078125,0.615
136,0.9707602339181286,0.32421875,0.62
137,0.9705882352941176,0.322265625,0.625
138,0.9702380952380952,0.318359375,0.63
139,0.9696969696969697,0.3125,0.635
140,0.968944099378882,0.3046875,0.64
141,0.9683544303797469,0.298828125,0.645
142,0.9681528662420382,0.296875,0.65
143,0.9675324675324676,0.291015625,0.655
144,0.9727891156462585,0.279296875,0.665
145,0.971830985915493,0.26953125,0.67
146,0.9703703703703703,0.255859375,0.675
147,0.9701492537313433,0.25390625,0.68
148,0.9694656488549618,0.248046875,0.685
149,0.968,0.236328125,0.69
